_type;_tags_shelter;_tags_public_transport;_tags_network;_tags_name;_tags_highway;_tags_departures_board;_tags_bus;_tags_bench;_lon;_lat;_id
node;;platform;;;bus_stop;;yes;;-73.2578422;-39.8385989;10617186912
node;yes;platform;;;bus_stop;;yes;;-73.2047729;-39.8244599;10761782691
node;yes;platform;;;bus_stop;;yes;;-73.2050076;-39.8240473;10761782692
node;;platform;;;bus_stop;;yes;;-73.2531007;-39.8482337;10882391520
node;;platform;;;bus_stop;;yes;;-73.2497708;-39.8468591;10882391523
node;;platform;;;bus_stop;;yes;;-73.2479619;-39.8446113;10882691345
node;;platform;;;bus_stop;;yes;;-73.209491;-39.8092222;10935422260
node;;platform;;;bus_stop;;yes;;-73.2093861;-39.8078815;10935846388
node;;platform;;;bus_stop;;yes;;-73.2097129;-39.8136401;10936208126
node;;platform;;;bus_stop;;yes;;-73.2320983;-39.8534661;11150858793
node;yes;platform;;;bus_stop;;yes;;-73.215386;-39.8246662;11599221549
node;;platform;;;bus_stop;;yes;;-73.218421;-39.8378958;11631837448
node;;platform;;;bus_stop;;yes;;-73.2178521;-39.8397007;11631837449
node;;platform;;;bus_stop;;yes;;-73.205878;-39.7990909;11710399411
node;;platform;;;bus_stop;;yes;;-73.2476116;-39.8211371;11779826675
node;;platform;;;bus_stop;;yes;;-73.2397342;-39.8567274;11785302130
node;;platform;;;bus_stop;;yes;;-73.2415542;-39.8566286;11785302160
node;;platform;;;bus_stop;;yes;;-73.2237997;-39.814812;11877012342
node;;platform;;;bus_stop;;yes;;-73.2250667;-39.8245975;12164786362
node;;platform;;;bus_stop;;yes;;-73.2212385;-39.8497654;12397223075
node;;platform;;;bus_stop;;yes;;-73.2667121;-39.8074881;12505661057
node;;platform;;;bus_stop;;yes;;-73.2629554;-39.8085858;12505669311
node;;platform;;;bus_stop;;yes;;-73.2112716;-39.8226207;12511692183
node;;platform;;;bus_stop;;yes;;-73.2093656;-39.8198054;12511736554
node;;platform;;;bus_stop;;yes;;-73.2166131;-39.8462895;12566062192
node;;platform;;;bus_stop;;yes;;-73.2144455;-39.8471482;12566084411
node;;platform;;;bus_stop;;yes;;-73.2124781;-39.8480641;12566084436
node;;platform;;;bus_stop;;yes;;-73.2123392;-39.8479913;12566084443
node;yes;platform;;;bus_stop;;yes;;-73.2127308;-39.854767;12583743901
node;;platform;;La Mano;bus_stop;;yes;;-73.2139518;-39.8404977;12586531532
node;;platform;;;bus_stop;;yes;;-73.2328916;-39.8258959;12753156581
