_type;_tags_source:addr;_tags_short_name;_tags_name;_tags_amenity;_tags_addr:street;_tags_addr:state;_tags_addr:housenumber;_tags_addr:district;_tags_addr:country;_tags_addr:city;_lon;_lat;_id
node;www.sii.cl, Cartografía Digital SII Mapas;;Escuela Especial Liwen;school;Dinamarca;Región de La Araucanía;728;Temuco;CL;Temuco;-72.6067848;-38.7381507;8586923371
node;www.sii.cl, Cartografía Digital SII Mapas;;Escuela de Lenguaje Raíces del Sur;school;Callejón Massmann;Región de La Araucanía;379;Temuco;CL;Temuco;-72.6078393;-38.7344352;8586923421
node;www.sii.cl, Cartografía Digital SII Mapas;;Escuela de Lenguaje Hablapalabras;school;Francia;Región de La Araucanía;305;Temuco;CL;Temuco;-72.6082974;-38.7329187;8586924390
node;www.sii.cl, Cartografía Digital SII Mapas;;Escuela de Lenguaje Pekes;school;Avenida General Prieto Norte;Región de La Araucanía;248;Temuco;CL;Temuco;-72.6008747;-38.7340634;8586924503
node;www.sii.cl, Cartografía Digital SII Mapas;;Colegio Hebreo;school;Trizano;Región de La Araucanía;426;Temuco;CL;Temuco;-72.6071442;-38.7346325;8586924576
node;www.sii.cl, Cartografía Digital SII Mapas;;Escuela De La Comunicación Icalma;school;Recreo;Región de La Araucanía;0495;Temuco;CL;Temuco;-72.6130003;-38.7206905;8611082607
node;www.sii.cl, Cartografía Digital SII Mapas;;Escuela Particular Alfa y Omega;school;Pangal;Región de La Araucanía;01985;Temuco;CL;Temuco;-72.6261382;-38.7287776;8611091976
node;www.sii.cl, Cartografía Digital SII Mapas;;Colegio de Adultos Sol de America;school;Chivilcán;Región de La Araucanía;01885;Temuco;CL;Temuco;-72.6204216;-38.7180555;8611092126
node;www.sii.cl, Cartografía Digital SII Mapas;;Colegio de Aplicacion;school;Colchane;Región de La Araucanía;0800;Temuco;CL;Temuco;-72.6269693;-38.7138559;8611093622
node;;;Escuela Llolletue;school;Camino Tromen - Sector 5 Laureles;;;;;Temuco;-72.6955852;-38.7054981;9137659266
node;www.sii.cl, Cartografía Digital SII Mapas;;Liceo San Sebastian;school;Villa Alegre;Región de La Araucanía;777;Padre Las Casas;CL;Padre Las Casas;-72.592928;-38.757084;9169651041
node;www.sii.cl, Cartografía Digital SII Mapas;;Liceo Adultos Horeb;school;Trarilonco;Región de La Araucanía;891;Padre Las Casas;CL;Padre Las Casas;-72.5951396;-38.7678976;9174431614
node;www.sii.cl, Cartografía Digital SII Mapas;;Escuela Especial de Lenguaje Alun Suyai;school;Bombero Carlos Escobar;Región de La Araucanía;145;Padre Las Casas;CL;Padre Las Casas;-72.6056787;-38.7647346;9183135552
node;www.sii.cl, Cartografía Digital SII Mapas;;Escuela Especial de Lenguaje Newen Alon;school;Lord Cochrane;Región de La Araucanía;1227;Padre Las Casas;CL;Padre Las Casas;-72.5980279;-38.7625766;9204784473
node;www.sii.cl, Cartografía Digital SII Mapas;;Colegio Holanda;school;Fuentes;Región de La Araucanía;485;Padre Las Casas;CL;Padre Las Casas;-72.595343;-38.7628716;9204784488
node;www.sii.cl, Cartografía Digital SII Mapas;;Colegio Bicentenario de la Araucania;school;Lord Cochrane;Región de La Araucanía;;Padre Las Casas;CL;Padre Las Casas;-72.5990954;-38.7627866;9204796395
node;www.sii.cl, Cartografía Digital SII Mapas;;Escuela Miss Clara Brincefield;school;Villa Alegre;Región de La Araucanía;937;Padre Las Casas;CL;Padre Las Casas;-72.5963527;-38.7589651;9207721483
node;;;Centro Educacional Integral Adultos Futuro;school;Lagos;;247;;;Temuco;-72.5922605;-38.7354993;10108527388
node;;;Colegio Golden School;school;Avenida Luis Durand;;3193;;;Temuco;-72.637928;-38.7224835;10108659950
node;;;Jardín Infantil Magic Garden;school;Antonio Varas;;382;;CL;Temuco;-72.5965818;-38.7396249;10992409516
node;;;Instituto Profesional Santo Tomás SeDe Manuel Rodriguez;school;;;;;CL;;-72.6016817;-38.7346575;11205330241
node;;;Escuela de Lenguaje Manantial;school;;;;;CL;;-72.6071694;-38.7382224;11206082653
node;;;Jardín Infantil Los Peques;school;;;;;CL;;-72.6274924;-38.752047;11286717251
node;;;CEIA Alerta;school;;;;;;;-72.5943593;-38.757473;11286798519
node;;;Colegio de Lenguaje Pehuen;school;;;;;CL;;-72.6098558;-38.739504;11299884584
